                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4887,                 1.8018,                  1.808,                0.77981,                0.75539,                0.81253,                0.48874,                 1.1125,                 1.0292,                 1.4799,              0.0033312,              0.0033312,              0.0033312
                      2,                 1.3288,                  1.551,                 1.6459,                0.85118,                0.79448,                0.86589,                0.54161,                  1.048,                0.95996,                  1.437,              0.0065985,              0.0065985,              0.0065985
                      3,                 1.3258,                 1.5429,                 1.6334,                0.79867,                0.78658,                0.83222,                0.49901,                 1.1146,                  1.002,                 1.4605,              0.0097999,              0.0097999,              0.0097999
                      4,                 1.3264,                 1.5429,                 1.6265,                0.83936,                0.81132,                0.85941,                0.56079,                 1.0273,                0.90859,                 1.3802,               0.009703,               0.009703,               0.009703
                      5,                 1.2882,                 1.4634,                 1.5818,                0.87574,                0.82932,                0.89154,                0.59604,                0.99374,                0.78617,                 1.3313,               0.009604,               0.009604,               0.009604
                      6,                 1.2575,                 1.4034,                 1.5479,                 0.8619,                0.85507,                0.90544,                0.61211,                0.96618,                0.73834,                 1.2878,               0.009505,               0.009505,               0.009505
                      7,                 1.2314,                 1.3488,                 1.5155,                0.88543,                0.86248,                0.91475,                0.62675,                0.95908,                0.67705,                 1.2763,               0.009406,               0.009406,               0.009406
                      8,                 1.2082,                  1.304,                 1.4923,                0.89167,                0.85851,                0.92184,                0.61667,                0.98126,                0.67967,                 1.2893,               0.009307,               0.009307,               0.009307
                      9,                 1.1871,                 1.2704,                 1.4732,                 0.9097,                0.87496,                0.92539,                0.64263,                0.92412,                0.62617,                 1.2392,               0.009208,               0.009208,               0.009208
                     10,                 1.1755,                   1.24,                 1.4533,                0.92457,                0.88859,                0.93413,                0.65443,                0.92032,                0.59548,                 1.2373,               0.009109,               0.009109,               0.009109
                     11,                 1.1567,                 1.2116,                 1.4379,                0.92411,                0.87979,                0.93425,                0.65154,                0.90358,                0.57284,                 1.2202,                0.00901,                0.00901,                0.00901
                     12,                 1.1412,                 1.1953,                 1.4257,                0.93418,                0.88594,                0.94082,                0.66052,                0.88815,                0.55562,                 1.1939,               0.008911,               0.008911,               0.008911
                     13,                 1.1338,                 1.1659,                 1.4076,                0.92169,                0.88982,                0.93688,                 0.6575,                0.87456,                0.54564,                 1.1834,               0.008812,               0.008812,               0.008812
                     14,                 1.1213,                 1.1342,                 1.3951,                 0.9279,                 0.8944,                0.94309,                0.67477,                 0.8605,                  0.521,                 1.1701,               0.008713,               0.008713,               0.008713
                     15,                 1.1163,                 1.1283,                 1.3847,                0.93561,                0.90823,                0.94745,                0.68168,                0.84017,                0.50809,                 1.1577,               0.008614,               0.008614,               0.008614
                     16,                 1.1059,                  1.104,                 1.3762,                0.93571,                  0.905,                0.94633,                0.67566,                0.85042,                0.49501,                 1.1607,               0.008515,               0.008515,               0.008515
                     17,                 1.0983,                 1.0923,                 1.3637,                0.94619,                0.90595,                0.95479,                0.68138,                0.84659,                0.48346,                 1.1595,               0.008416,               0.008416,               0.008416
                     18,                 1.0877,                 1.0875,                 1.3601,                0.94043,                0.90956,                0.95173,                0.68258,                0.83427,                0.47838,                 1.1474,               0.008317,               0.008317,               0.008317
                     19,                 1.0793,                 1.0671,                 1.3522,                0.94554,                0.91576,                0.95188,                0.68688,                0.82696,                0.46389,                 1.1408,               0.008218,               0.008218,               0.008218
                     20,                 1.0713,                 1.0516,                  1.339,                0.94658,                 0.9218,                0.95551,                0.69703,                0.82003,                0.44922,                 1.1377,               0.008119,               0.008119,               0.008119
                     21,                 1.0668,                 1.0347,                 1.3364,                0.95199,                0.90916,                0.95612,                0.69386,                0.82509,                0.45341,                 1.1401,                0.00802,                0.00802,                0.00802
                     22,                 1.0517,                 1.0225,                 1.3257,                0.95603,                0.91344,                0.95648,                0.69379,                0.81641,                0.44668,                 1.1274,               0.007921,               0.007921,               0.007921
                     23,                 1.0451,                 1.0132,                   1.32,                0.95027,                0.91814,                0.95656,                0.69545,                0.81654,                0.44735,                 1.1271,               0.007822,               0.007822,               0.007822
                     24,                 1.0454,                 1.0152,                 1.3198,                0.95221,                0.92148,                0.95813,                0.69511,                0.81982,                 0.4409,                 1.1284,               0.007723,               0.007723,               0.007723
                     25,                 1.0415,                 1.0081,                 1.3208,                0.94945,                0.92314,                0.95989,                0.70117,                0.80658,                0.43324,                 1.1217,               0.007624,               0.007624,               0.007624
                     26,                 1.0362,                  0.994,                 1.3127,                0.95615,                0.92638,                 0.9617,                0.70216,                0.80136,                0.43079,                 1.1183,               0.007525,               0.007525,               0.007525
                     27,                 1.0392,                0.98961,                 1.3082,                 0.9523,                0.91972,                0.95858,                0.70244,                0.80187,                0.42734,                 1.1207,               0.007426,               0.007426,               0.007426
                     28,                 1.0242,                0.96887,                 1.3033,                0.95057,                0.92303,                0.96169,                0.70353,                0.79913,                0.42102,                 1.1168,               0.007327,               0.007327,               0.007327
                     29,                 1.0236,                0.96471,                 1.2997,                0.95272,                0.93115,                0.96488,                0.70825,                0.79211,                0.41549,                 1.1123,               0.007228,               0.007228,               0.007228
                     30,                 1.0186,                0.95505,                 1.2944,                0.95353,                0.92644,                0.96266,                0.70714,                 0.7936,                0.41604,                 1.1104,               0.007129,               0.007129,               0.007129
                     31,                 1.0098,                0.94541,                 1.2849,                0.95682,                0.92544,                0.96175,                0.70866,                0.78964,                0.41156,                  1.108,                0.00703,                0.00703,                0.00703
                     32,                 1.0133,                0.94747,                 1.2887,                0.95315,                0.92601,                0.96102,                0.70953,                0.78604,                0.40806,                 1.1057,               0.006931,               0.006931,               0.006931
                     33,                 1.0064,                0.93686,                 1.2856,                0.95632,                0.92489,                0.96194,                0.71129,                0.78367,                0.40513,                 1.1042,               0.006832,               0.006832,               0.006832
                     34,                 1.0016,                0.92383,                 1.2784,                0.95551,                0.93002,                0.96387,                0.71135,                0.78079,                0.40115,                 1.1023,               0.006733,               0.006733,               0.006733
                     35,                0.99875,                0.92693,                 1.2814,                0.96072,                0.92973,                0.96526,                0.71194,                0.78032,                0.39941,                 1.1021,               0.006634,               0.006634,               0.006634
                     36,                0.99005,                0.92124,                  1.274,                0.95812,                0.93235,                0.96576,                0.71224,                0.78158,                0.39718,                 1.1023,               0.006535,               0.006535,               0.006535
                     37,                0.99146,                0.91305,                 1.2721,                0.95844,                0.93281,                0.96644,                0.71206,                0.78161,                0.39509,                 1.1019,               0.006436,               0.006436,               0.006436
                     38,                0.98368,                0.90211,                 1.2649,                 0.9605,                0.93093,                0.96646,                0.71251,                 0.7806,                0.39359,                 1.1011,               0.006337,               0.006337,               0.006337
                     39,                0.98109,                0.90047,                 1.2671,                 0.9617,                0.92966,                0.96755,                0.71471,                0.77961,                0.39303,                 1.1003,               0.006238,               0.006238,               0.006238
                     40,                0.98239,                0.90016,                 1.2659,                0.96177,                0.93016,                0.96759,                 0.7147,                0.77884,                0.39327,                 1.0995,               0.006139,               0.006139,               0.006139
                     41,                0.98178,                0.88789,                 1.2619,                0.95908,                0.92939,                0.96681,                 0.7148,                 0.7775,                0.39167,                 1.0989,                0.00604,                0.00604,                0.00604
                     42,                 0.9768,                0.89185,                 1.2595,                0.95987,                0.92828,                0.96656,                0.71544,                0.77697,                0.39161,                  1.098,               0.005941,               0.005941,               0.005941
                     43,                0.97383,                0.88653,                 1.2589,                0.95821,                0.92935,                0.96612,                 0.7157,                0.77599,                0.39081,                 1.0974,               0.005842,               0.005842,               0.005842
                     44,                0.96577,                0.87734,                 1.2558,                0.95906,                0.93033,                0.96672,                 0.7158,                0.77611,                 0.3902,                 1.0974,               0.005743,               0.005743,               0.005743
                     45,                0.96461,                0.87426,                 1.2541,                0.96058,                0.93019,                0.96658,                0.71578,                0.77549,                0.38958,                 1.0967,               0.005644,               0.005644,               0.005644
                     46,                0.96332,                0.86823,                 1.2506,                0.95871,                0.93098,                0.96663,                0.71625,                 0.7745,                0.38889,                 1.0963,               0.005545,               0.005545,               0.005545
                     47,                0.96053,                0.86161,                 1.2462,                0.96015,                0.92916,                0.96657,                0.71615,                0.77386,                0.38815,                 1.0959,               0.005446,               0.005446,               0.005446
                     48,                0.95754,                0.85282,                 1.2453,                0.96037,                0.92918,                0.96675,                0.71652,                0.77321,                0.38705,                 1.0956,               0.005347,               0.005347,               0.005347
                     49,                0.95493,                0.85129,                 1.2409,                0.95913,                0.93003,                0.96751,                0.71676,                0.77298,                0.38634,                 1.0951,               0.005248,               0.005248,               0.005248
                     50,                0.95443,                0.85641,                 1.2455,                0.95896,                0.92992,                0.96758,                0.71737,                0.77196,                0.38538,                 1.0944,               0.005149,               0.005149,               0.005149
                     51,                0.94948,                0.84556,                 1.2402,                0.95918,                0.92937,                0.96783,                0.71807,                0.77127,                0.38423,                 1.0939,                0.00505,                0.00505,                0.00505
                     52,                0.94916,                0.83723,                 1.2375,                0.95969,                0.92917,                0.96839,                0.71781,                0.77076,                0.38401,                 1.0936,               0.004951,               0.004951,               0.004951
                     53,                 0.9404,                0.82908,                 1.2313,                 0.9598,                 0.9297,                0.96855,                0.71816,                0.77011,                0.38325,                 1.0931,               0.004852,               0.004852,               0.004852
                     54,                0.94088,                0.83137,                 1.2318,                0.96045,                0.93079,                0.96862,                0.71859,                0.76952,                0.38265,                 1.0927,               0.004753,               0.004753,               0.004753
                     55,                 0.9332,                0.82982,                 1.2289,                0.96139,                0.93078,                0.96893,                0.71852,                0.76886,                0.38203,                 1.0923,               0.004654,               0.004654,               0.004654
                     56,                0.93193,                0.81978,                 1.2281,                0.95988,                0.93021,                0.96833,                0.71893,                0.76808,                0.38129,                 1.0918,               0.004555,               0.004555,               0.004555
                     57,                0.93036,                0.81811,                 1.2248,                0.96021,                0.93097,                0.96899,                0.71904,                0.76768,                0.38088,                 1.0913,               0.004456,               0.004456,               0.004456
                     58,                0.93065,                0.82126,                 1.2276,                0.95924,                0.93093,                0.96867,                0.71944,                0.76694,                 0.3804,                 1.0908,               0.004357,               0.004357,               0.004357
                     59,                 0.9256,                0.81015,                 1.2186,                0.95978,                0.93248,                 0.9696,                0.71992,                0.76641,                0.37944,                 1.0904,               0.004258,               0.004258,               0.004258
                     60,                0.92463,                0.79945,                 1.2132,                0.96055,                0.93348,                0.96973,                0.72095,                0.76558,                 0.3787,                 1.0899,               0.004159,               0.004159,               0.004159
                     61,                0.91776,                 0.8002,                 1.2163,                0.95945,                0.93309,                0.96921,                0.72096,                0.76491,                 0.3779,                 1.0896,                0.00406,                0.00406,                0.00406
                     62,                0.90768,                0.79059,                  1.213,                0.95989,                0.93268,                0.96931,                0.72167,                0.76408,                0.37724,                 1.0892,               0.003961,               0.003961,               0.003961
                     63,                0.90618,                0.78988,                 1.2075,                0.95976,                0.93217,                0.96937,                0.72195,                0.76329,                0.37638,                 1.0887,               0.003862,               0.003862,               0.003862
                     64,                0.91277,                0.79258,                 1.2116,                0.95984,                0.93203,                0.96943,                0.72258,                0.76264,                  0.376,                 1.0881,               0.003763,               0.003763,               0.003763
                     65,                0.90598,                0.78155,                 1.2054,                0.95964,                 0.9329,                0.96958,                0.72283,                0.76211,                0.37502,                 1.0876,               0.003664,               0.003664,               0.003664
