                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.524,                 1.6506,                0.95947,                0.46815,                0.51417,                0.48546,                0.30697,                 1.2924,                 1.1394,                0.88801,              0.0033308,              0.0033308,              0.0033308
                      2,                 1.2952,                  1.042,                0.88959,                0.58699,                0.59518,                0.62417,                0.42935,                 1.1235,                0.91765,                0.86067,              0.0065982,              0.0065982,              0.0065982
                      3,                 1.2536,                0.93928,                0.87156,                0.63077,                0.62657,                 0.6682,                 0.4562,                 1.1024,                0.85545,                0.85366,              0.0097995,              0.0097995,              0.0097995
                      4,                 1.2103,                0.90042,                0.86636,                0.68952,                0.68341,                0.71942,                0.50776,                 1.0178,                0.76549,                0.84097,               0.009703,               0.009703,               0.009703
                      5,                   1.15,                0.84169,                0.85666,                0.73277,                0.69736,                0.75663,                0.54517,                0.96173,                0.71829,                0.83173,               0.009604,               0.009604,               0.009604
                      6,                 1.1046,                0.79816,                 0.8504,                0.75902,                0.69689,                0.77654,                0.55362,                0.97158,                0.67053,                0.83198,               0.009505,               0.009505,               0.009505
                      7,                 1.0742,                0.76788,                0.84473,                0.75227,                0.69632,                0.77561,                0.56046,                 0.9402,                0.66963,                0.82885,               0.009406,               0.009406,               0.009406
                      8,                 1.0528,                0.74664,                0.84056,                0.79643,                0.70967,                0.81107,                0.59775,                0.90942,                0.62492,                 0.8244,               0.009307,               0.009307,               0.009307
                      9,                 1.0354,                0.72783,                0.83888,                0.80176,                0.72797,                0.81856,                0.59953,                0.89758,                0.60298,                0.82213,               0.009208,               0.009208,               0.009208
                     10,                 1.0202,                0.71101,                0.83813,                0.81482,                0.73698,                0.83144,                0.61253,                0.89252,                0.59558,                0.82074,               0.009109,               0.009109,               0.009109
