                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9671,                 4.1707,                 2.9458,                0.09175,                  0.151,                0.04149,                0.02515,                 1.7749,                 2.6943,                 1.6941,               0.003329,               0.003329,               0.003329
                      2,                 1.3816,                 2.3695,                 1.4528,                0.21019,                0.30412,                 0.1998,                0.12643,                 1.3257,                 2.2218,                 1.2901,              0.0065964,              0.0065964,              0.0065964
                      3,                 1.2199,                 1.7472,                 1.2958,                0.56124,                0.38156,                0.44323,                0.24899,                 1.4949,                 1.7688,                 1.3253,              0.0097977,              0.0097977,              0.0097977
                      4,                 1.1277,                 1.2247,                 1.2203,                0.68058,                0.46247,                0.57549,                0.39829,                 1.1615,                 1.4034,                 1.1245,               0.009703,               0.009703,               0.009703
                      5,                 1.0388,                0.94828,                 1.1647,                0.78546,                0.47499,                0.63898,                 0.4598,                 1.0952,                 1.1569,                 1.0849,               0.009604,               0.009604,               0.009604
                      6,                0.95094,                0.81455,                 1.1131,                0.77166,                0.55627,                0.70581,                0.49797,                 1.0611,                 1.0686,                 1.0617,               0.009505,               0.009505,               0.009505
                      7,                0.89783,                0.74155,                 1.0879,                0.74617,                0.58585,                0.72887,                0.52905,                 1.0222,                 0.9868,                 1.0392,               0.009406,               0.009406,               0.009406
                      8,                0.86453,                0.69252,                  1.064,                0.79379,                 0.6182,                 0.7659,                0.58324,                0.86502,                0.88814,                0.97405,               0.009307,               0.009307,               0.009307
                      9,                0.84515,                0.65968,                 1.0558,                 0.7738,                0.66668,                 0.7941,                0.61156,                0.88795,                0.86463,                0.97438,               0.009208,               0.009208,               0.009208
                     10,                0.82244,                0.63235,                 1.0417,                0.84118,                0.61843,                0.78879,                0.60459,                0.91194,                0.85312,                0.97561,               0.009109,               0.009109,               0.009109
                     11,                0.80711,                0.61232,                 1.0351,                0.78845,                 0.6961,                0.81792,                0.63682,                0.84388,                0.79848,                0.95679,                0.00901,                0.00901,                0.00901
                     12,                0.79307,                0.59054,                 1.0294,                0.84385,                0.66098,                0.81984,                 0.6421,                0.83259,                 0.7622,                0.94801,               0.008911,               0.008911,               0.008911
                     13,                0.78318,                0.57518,                 1.0234,                0.79019,                 0.7244,                0.83866,                0.65323,                 0.8562,                0.73517,                0.94696,               0.008812,               0.008812,               0.008812
                     14,                0.77479,                0.56518,                 1.0195,                0.80535,                0.73661,                 0.8384,                0.65899,                 0.8058,                0.73606,                 0.9351,               0.008713,               0.008713,               0.008713
                     15,                0.76488,                0.55478,                 1.0119,                 0.7954,                0.72915,                0.85152,                0.68007,                0.79699,                0.70566,                0.91858,               0.008614,               0.008614,               0.008614
                     16,                0.75461,                0.54477,                 1.0064,                 0.8378,                0.74162,                0.87137,                0.69823,                0.79555,                 0.6707,                0.92293,               0.008515,               0.008515,               0.008515
                     17,                0.74986,                0.53479,                 1.0056,                0.82962,                0.75168,                0.87254,                0.70142,                0.78555,                0.65713,                0.91539,               0.008416,               0.008416,               0.008416
                     18,                0.74358,                0.52726,                0.99925,                0.82183,                0.75054,                 0.8699,                0.70368,                0.76259,                0.64288,                0.90928,               0.008317,               0.008317,               0.008317
                     19,                0.73616,                0.52105,                0.99426,                0.83112,                0.75112,                0.87318,                0.70262,                0.76624,                0.64117,                0.90795,               0.008218,               0.008218,               0.008218
                     20,                0.73132,                0.51036,                0.99519,                0.83155,                0.76767,                0.88788,                0.71587,                0.76386,                 0.6258,                0.90502,               0.008119,               0.008119,               0.008119
