                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9561,                 4.3493,                  3.575,                0.07354,                0.20974,                0.05349,                0.01977,                 2.2801,                 3.6072,                 2.9045,             0.00023718,             0.00023718,             0.00023718
                      2,                 1.9324,                 2.8937,                 2.2653,                0.29003,                0.47888,                  0.302,                0.09365,                 2.1246,                 2.3834,                 2.3688,             0.00047048,             0.00047048,             0.00047048
                      3,                 1.5876,                 2.2816,                 1.8844,                 0.5109,                0.60248,                0.58487,                0.24628,                  1.925,                 2.2257,                 2.1317,             0.00069906,             0.00069906,             0.00069906
                      4,                 1.4392,                 1.8899,                 1.7258,                0.69532,                0.69472,                0.73675,                0.42064,                 1.4015,                 1.4552,                 1.6424,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.3591,                 1.6476,                 1.6462,                0.80165,                0.73949,                0.84124,                0.53437,                 1.2445,                 1.2252,                 1.5622,             0.00068573,             0.00068573,             0.00068573
                      6,                 1.2724,                 1.4454,                 1.5602,                0.81662,                0.81142,                0.89196,                0.54072,                 1.2972,                 1.1189,                 1.6308,             0.00067866,             0.00067866,             0.00067866
                      7,                 1.2426,                  1.342,                 1.5238,                0.83701,                0.80727,                0.90028,                0.46635,                 1.4189,                 1.0994,                 1.7163,             0.00067159,             0.00067159,             0.00067159
                      8,                 1.1938,                 1.2511,                 1.4808,                0.88723,                 0.8771,                0.95138,                0.55364,                  1.186,                 0.9207,                 1.5156,             0.00066452,             0.00066452,             0.00066452
                      9,                 1.1679,                 1.1928,                  1.457,                0.92519,                0.88709,                0.95904,                0.56511,                 1.1814,                0.86371,                 1.4942,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.1449,                 1.1406,                  1.438,                0.92548,                0.92495,                0.96944,                0.52438,                 1.5527,                0.89758,                 1.8334,             0.00065038,             0.00065038,             0.00065038
                     11,                   1.12,                 1.0936,                 1.4128,                0.94697,                0.91852,                0.97777,                0.55789,                   1.42,                 0.7823,                 1.7044,             0.00064331,             0.00064331,             0.00064331
                     12,                 1.0858,                 1.0492,                 1.3861,                0.93218,                0.92989,                0.97092,                0.51352,                 1.3882,                0.78026,                 1.6562,             0.00063625,             0.00063625,             0.00063625
                     13,                 1.0859,                 1.0182,                 1.3792,                0.96388,                0.93986,                0.98413,                0.59961,                 1.2288,                0.68913,                 1.5202,             0.00062918,             0.00062918,             0.00062918
                     14,                 1.0709,                0.98796,                 1.3655,                  0.951,                0.93902,                0.97954,                0.65158,                 1.0779,                0.66305,                 1.3869,             0.00062211,             0.00062211,             0.00062211
                     15,                  1.039,                0.95565,                 1.3441,                0.95156,                0.94917,                0.98336,                0.58749,                 1.2504,                0.68114,                 1.5482,             0.00061504,             0.00061504,             0.00061504
                     16,                 1.0214,                0.92094,                 1.3264,                0.96716,                0.95767,                0.98771,                0.56352,                  1.382,                0.67452,                 1.6115,             0.00060797,             0.00060797,             0.00060797
                     17,                 1.0206,                0.90462,                 1.3276,                0.95897,                 0.9504,                 0.9831,                0.69177,                 1.0742,                0.63861,                 1.3972,              0.0006009,              0.0006009,              0.0006009
                     18,                 1.0137,                0.89456,                   1.32,                 0.9642,                 0.9613,                0.98763,                0.68878,                0.97299,                0.59215,                 1.3035,             0.00059383,             0.00059383,             0.00059383
                     19,                 1.0092,                0.86818,                 1.3123,                0.95199,                0.94435,                0.98544,                0.60019,                 1.2764,                0.64811,                 1.5283,             0.00058677,             0.00058677,             0.00058677
                     20,                0.99598,                 0.8495,                 1.3003,                0.97932,                0.96358,                0.98965,                0.63751,                 1.1119,                0.59196,                  1.413,              0.0005797,              0.0005797,              0.0005797
                     21,                0.98945,                0.84228,                 1.2957,                0.97159,                0.96411,                0.98318,                0.65022,                 1.0697,                0.55463,                 1.3638,             0.00057263,             0.00057263,             0.00057263
                     22,                0.98171,                 0.8331,                 1.2933,                0.97502,                0.97096,                0.98595,                0.61976,                 1.1488,                0.56147,                  1.473,             0.00056556,             0.00056556,             0.00056556
                     23,                0.97164,                0.82027,                 1.2837,                0.98065,                0.97221,                  0.991,                0.70284,                 1.0194,                0.53374,                 1.3639,             0.00055849,             0.00055849,             0.00055849
