                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6695,                0.51985,                0.98609,                0.91297,                0.89867,                0.95372,                0.84685,                0.51305,                0.39173,                0.91994,               0.003331,               0.003331,               0.003331
                      2,                0.70346,                0.55689,                0.99625,                0.92392,                0.88931,                0.95198,                0.83693,                0.53561,                 0.4102,                0.92727,              0.0065984,              0.0065984,              0.0065984
                      3,                0.74861,                0.59391,                 1.0143,                0.90908,                0.88505,                0.94232,                0.82561,                 0.5658,                0.45228,                0.94411,              0.0097997,              0.0097997,              0.0097997
                      4,                0.75821,                0.60897,                 1.0177,                 0.9402,                0.87989,                0.94892,                0.83335,                0.54768,                 0.4274,                0.93809,               0.009703,               0.009703,               0.009703
                      5,                 0.7266,                0.57721,                 1.0033,                0.93626,                0.89308,                 0.9548,                0.84301,                0.52843,                0.40956,                0.92558,               0.009604,               0.009604,               0.009604
                      6,                0.70541,                 0.5568,                0.99395,                0.93016,                0.90043,                0.95533,                0.84586,                 0.5271,                0.40292,                0.93085,               0.009505,               0.009505,               0.009505
                      7,                0.69083,                0.54242,                0.98624,                0.91953,                0.90682,                  0.959,                0.85461,                0.50137,                0.38541,                0.91687,               0.009406,               0.009406,               0.009406
                      8,                0.67442,                0.52424,                0.97904,                0.91509,                0.90297,                0.95493,                0.85223,                0.50113,                0.38476,                0.91539,               0.009307,               0.009307,               0.009307
                      9,                0.66193,                 0.5117,                 0.9738,                0.91872,                0.91242,                0.95789,                0.85612,                 0.4927,                0.38206,                0.90985,               0.009208,               0.009208,               0.009208
                     10,                0.64998,                0.49889,                0.96523,                0.93162,                0.91234,                0.96446,                0.86406,                0.47992,                0.36034,                 0.9042,               0.009109,               0.009109,               0.009109
